,City,Country,Date,Latitude,Longtitude,Cloudiness,Humidity,Max Temp,Wind Speed
337,Mangan,IN,1619373308,27.5167,88.5333,60,64,291.62,3.25
338,Mikhaylovskoye,RU,1619373308,51.8239,79.7172,97,45,280.31,4.2
339,Virginia Beach,US,1619373296,36.8529,-75.978,90,67,289.82,8.23
340,Cabedelo,BR,1619373057,-6.9811,-34.8339,20,66,303.15,5.66
341,Teguise,ES,1619373309,29.0605,-13.564,20,50,297.15,9.26
342,Tonekābon,IR,1619373309,36.8163,50.8738,75,94,290.15,0.66
343,Dārāb,IR,1619373310,28.7519,54.5444,72,18,297.71,2.13
344,Sept-Îles,CA,1619372913,50.2001,-66.3821,20,49,281.48,7.2
345,Carutapera,BR,1619373310,-1.195,-46.02,84,75,301.57,3.0
346,Mettupalayam,IN,1619373310,11.3,76.95,40,74,301.15,4.12
347,Bartica,GY,1619373311,6.4,-58.6167,75,83,301.15,3.09
348,Bima,ID,1619373311,-8.4667,118.7167,46,93,296.61,1.69
349,Padang,ID,1619373311,-0.9492,100.3543,91,85,298.82,1.42
350,Kamenka,RU,1619373312,51.3223,42.7678,38,44,280.37,3.67
351,Gaziantep,TR,1619373312,37.0594,37.3825,100,27,298.15,2.8
352,Port Said,EG,1619373312,31.2565,32.2841,0,64,295.15,3.09
353,Tokmak,UA,1619373313,47.2514,35.7058,67,48,281.53,1.49
